feature_set,feature,tree_importance
RAW20_DIFF19,x14,0.48919713158859207
RAW20,x14,0.4881190950524066
RAW20,x10,0.1742477457671221
RAW20_DIFF19,x10,0.16037373931962964
RAW20_DIFF19,x7,0.14315434486023348
RAW20,x7,0.1428388777323478
RAW20_DIFF19,x5,0.08821084731033943
RAW20,x5,0.08051527322563677
RAW20_DIFF19,diff2,0.04617548829276296
RAW20_DIFF19,x16,0.04401762799273121
RAW20,x16,0.04392062699223547
RAW20,x3,0.04163912154356031
RAW20_DIFF19,x9,0.007414665499064083
RAW20,x9,0.007398325909565804
RAW20_DIFF19,x12,0.007080301645776076
RAW20,x12,0.007064698888995357
RAW20,x4,0.005842866387394985
RAW20_DIFF19,diff10,0.004880501192493349
RAW20_DIFF19,x13,0.004562538155956889
RAW20,x13,0.004042331848706406
RAW20_DIFF19,x2,0.0029613724193885992
RAW20,x11,0.0019027530446989803
RAW20_DIFF19,x15,0.0011314184578922987
RAW20,x15,0.0011289251676507622
RAW20_DIFF19,diff5,0.0005828486549092988
RAW20,x0,0.0005815642398862243
RAW20,x19,0.0005035077840846262
RAW20,x17,0.0002542864157078557
RAW20_DIFF19,x0,0.0002025639229821413
RAW20_DIFF19,diff14,5.461068724841646e-05
RAW20_DIFF19,x6,0.0
RAW20,x18,0.0
RAW20,x1,0.0
RAW20,x6,0.0
RAW20,x8,0.0
RAW20,x2,0.0
RAW20_DIFF19,x4,0.0
RAW20_DIFF19,x3,0.0
RAW20_DIFF19,x1,0.0
RAW20_DIFF19,x18,0.0
RAW20_DIFF19,x8,0.0
RAW20_DIFF19,x11,0.0
RAW20_DIFF19,x17,0.0
RAW20_DIFF19,diff3,0.0
RAW20_DIFF19,diff1,0.0
RAW20_DIFF19,x19,0.0
RAW20_DIFF19,diff6,0.0
RAW20_DIFF19,diff7,0.0
RAW20_DIFF19,diff8,0.0
RAW20_DIFF19,diff9,0.0
RAW20_DIFF19,diff4,0.0
RAW20_DIFF19,diff11,0.0
RAW20_DIFF19,diff12,0.0
RAW20_DIFF19,diff13,0.0
RAW20_DIFF19,diff15,0.0
RAW20_DIFF19,diff16,0.0
RAW20_DIFF19,diff17,0.0
RAW20_DIFF19,diff18,0.0
RAW20_DIFF19,diff19,0.0
