model,feature_set,train_balanced_accuracy,val_balanced_accuracy,train_accuracy,val_accuracy,train_roc_auc,val_roc_auc,notes
LogisticRegression,RAW20,0.8799254923101072,0.837067587624158,0.875031097105896,0.8423284502698535,0.9075962468439416,0.8899690188792826,default estimator weighting
RidgeClassifier,RAW20,0.8754510238938642,0.8282033285244268,0.8719628493241562,0.8365458750963762,0.9062417192975617,0.8864272073399827,default estimator weighting
LinearSVC,RAW20,0.8724566042160516,0.8294552875483918,0.8708848163197612,0.838473400154202,0.9089684107212718,0.8919715046341944,default estimator weighting
DecisionTree_depth5,RAW20,0.9988543324755851,0.994166389895069,0.9990048926113276,0.994988434849653,0.9993849310722702,0.9945260848581721,default estimator weighting
HistGradientBoosting,RAW20,1.0,0.9972885032537961,1.0,0.9980724749421742,1.0,1.0,class-balanced weights
LogisticRegression,RAW20_DIFF19,0.8819709747933532,0.8387502724470415,0.8767725350360727,0.8438704703161141,0.9078361854302845,0.8903316329178299,default estimator weighting
RidgeClassifier,RAW20_DIFF19,0.870996228510606,0.828259115299588,0.8690604527738618,0.8369313801079414,0.9069428577446,0.886544619041194,default estimator weighting
LinearSVC,RAW20_DIFF19,0.8702242882661764,0.8305398862468734,0.8693921552367526,0.8392444101773323,0.9095551016006547,0.8922374648413579,default estimator weighting
DecisionTree_depth5,RAW20_DIFF19,0.9980823620577921,0.9934366210339495,0.9984244133012687,0.994988434849653,0.9994133091206173,0.9910799541251077,default estimator weighting
HistGradientBoosting,RAW20_DIFF19,1.0,0.9989154013015185,1.0,0.9992289899768697,1.0,1.0,class-balanced weights
reservoir_float_spike_count,64 spike-count features,0.9681375919857615,0.9601935411888032,0.9703126295712746,0.9653045489591364,0.9910866375630495,0.9901867170390973,locked artifact; no test data used
reservoir_fixed_int8_spike_count,64 spike-count features,0.9697847408111095,0.9614098226240023,0.9700638527241064,0.9653045489591364,0.9911537280367333,0.9905311679415458,locked artifact; no test data used
