seed,edge_count,train_balanced_accuracy,val_balanced_accuracy,train_accuracy,val_accuracy
0,418,0.9655461979238674,0.966984608039523,0.9644249108549631,0.9668465690053971
1,409,0.9748001271143456,0.969245269800413,0.9749564640517456,0.9707016191210486
2,389,0.9733692609583773,0.973563555407944,0.9733808773530144,0.9753276792598303
3,471,0.9583133560522668,0.9531079720599072,0.9613566630732233,0.9583654587509638
4,425,0.9665543050842057,0.9614098226240023,0.968819968488266,0.9653045489591364
5,443,0.9734823356379949,0.9702740817237335,0.9729662492744009,0.9710871241326138
6,384,0.959218044009299,0.9531280812463025,0.9607761837631644,0.9568234387047032
7,396,0.9615880108433412,0.9601020768248762,0.9616054399203914,0.9629915188897455
8,379,0.960422700459305,0.956062725093151,0.9613566630732233,0.9602929838087895
9,360,0.9604374099739984,0.9573750116763018,0.9601127788373829,0.9575944487278335
