component,explained_variance_ratio,cumulative_explained_variance
1,0.6668748301593248,0.6668748301593248
2,0.06718467988528962,0.7340595100446144
3,0.05645621453349887,0.7905157245781134
4,0.03321450144228167,0.823730226020395
5,0.020319828339433705,0.8440500543598287
6,0.015220871522276247,0.859270925882105
7,0.01355634536270399,0.872827271244809
8,0.012116580738317779,0.8849438519831268
9,0.007812749692984108,0.8927566016761108
10,0.005954164912811076,0.8987107665889219
11,0.005925321178147572,0.9046360877670695
12,0.005593883639600074,0.9102299714066696
13,0.0052036456508923945,0.915433617057562
14,0.004693392168826215,0.9201270092263882
15,0.0042832886082192646,0.9244102978346075
16,0.0038982079739610623,0.9283085058085685
17,0.0034678982372119533,0.9317764040457804
18,0.0031835814990985247,0.9349599855448789
19,0.002920154647029025,0.9378801401919079
20,0.0028811993584511785,0.9407613395503591
21,0.0027808982976351006,0.9435422378479942
22,0.002584513067029241,0.9461267509150234
23,0.0025238662892688277,0.9486506172042922
24,0.002239805197224478,0.9508904224015167
25,0.0022256910019191525,0.9531161134034358
26,0.0021340180345276755,0.9552501314379636
27,0.002086621743401821,0.9573367531813654
28,0.0019917828927772233,0.9593285360741426
29,0.0019289107297088927,0.9612574468038515
30,0.001896357115059246,0.9631538039189107
31,0.001830294444338034,0.9649840983632487
32,0.0017591196144272339,0.9667432179776759
33,0.0017071190909389478,0.9684503370686148
34,0.001662372854512817,0.9701127099231277
35,0.0015868589601278592,0.9716995688832556
36,0.0015565445558527518,0.9732561134391083
37,0.001469688995763185,0.9747258024348715
38,0.0014422638932492236,0.9761680663281207
39,0.001412477679772129,0.9775805440078928
40,0.0013467989314734784,0.9789273429393663
41,0.001305470978079277,0.9802328139174457
42,0.0012351482120639876,0.9814679621295096
43,0.0012239656553964988,0.9826919277849061
44,0.0012037570654274265,0.9838956848503335
45,0.0011758200219412162,0.9850715048722747
46,0.0011488317641500131,0.9862203366364247
47,0.0011174822022708085,0.9873378188386955
48,0.0010709269777475663,0.9884087458164431
49,0.0010230077140428952,0.989431753530486
50,0.000940144725810552,0.9903718982562965
51,0.0009093935451078734,0.9912812918014043
52,0.000869605858518949,0.9921508976599233
53,0.00083522370600584,0.9929861213659291
54,0.0008147138261069173,0.993800835192036
55,0.0007857524861018406,0.9945865876781378
56,0.0007366470346660288,0.9953232347128038
57,0.000722783838860835,0.9960460185516646
58,0.000704594100133573,0.9967506126517982
59,0.0006276671137830544,0.9973782797655812
60,0.0005880212182419905,0.9979663009838232
61,0.0005537680367138977,0.9985200690205371
62,0.0005234841237797989,0.9990435531443169
63,0.0004927727585365773,0.9995363259028535
64,0.000463674097146356,0.9999999999999998
