model,perturbation,value,balanced_accuracy,accuracy,delta_from_clean
fixed_int8,dc_offset,-0.05,0.19741642362660744,0.1808018504240555,-0.7639933989973948
float_reference,dc_offset,-0.05,0.19383893449854175,0.18465690053970701,-0.7669526928146634
fixed_int8,dc_offset,-0.04,0.3400288274917228,0.35774865073245954,-0.6213809951322795
float_reference,dc_offset,-0.04,0.33748015028697753,0.3619892058596762,-0.6233114770262276
fixed_int8,dc_offset,-0.03,0.6279035070421073,0.6576715497301465,-0.33350631558189503
float_reference,dc_offset,-0.03,0.6215743027950471,0.6626831148804935,-0.339217324518158
fixed_int8,dc_offset,-0.02,0.878891451909205,0.8808789514263685,-0.08251837071479728
float_reference,dc_offset,-0.02,0.8773916958141756,0.8839629915188898,-0.08339993149902947
fixed_int8,dc_offset,-0.01,0.9548710936283719,0.9537393986121819,-0.006538728995630461
float_reference,dc_offset,-0.01,0.9577856282888251,0.9587509637625289,-0.003005999024380035
fixed_int8,dc_offset,0.0,0.9614098226240023,0.9653045489591364,0.0
float_reference,dc_offset,0.0,0.9607916273132051,0.9660755589822668,0.0
fixed_int8,dc_offset,0.01,0.8163155559476487,0.8014649190439476,-0.1450942666763536
float_reference,dc_offset,0.01,0.9028460336900228,0.9186584425597533,-0.0579455936231823
fixed_int8,dc_offset,0.02,0.6785183291990575,0.6796453353893601,-0.2828914934249448
float_reference,dc_offset,0.02,0.7697575999750905,0.8041634541249036,-0.1910340273381146
fixed_int8,dc_offset,0.03,0.5488504032216214,0.6106399383191982,-0.41255941940238094
float_reference,dc_offset,0.03,0.5717203863039575,0.6476484194294526,-0.3890712410092476
fixed_int8,dc_offset,0.04,0.47508212332250466,0.5547417116422514,-0.48632769930149766
float_reference,dc_offset,0.04,0.46705466585019045,0.5547417116422514,-0.49373696146301466
fixed_int8,dc_offset,0.05,0.40908701699031647,0.49036237471087124,-0.5523228056336859
float_reference,dc_offset,0.05,0.4113632471535771,0.4976869699306091,-0.549428380159628
fixed_int8,gain,0.8,0.5674585361550197,0.45682343870470316,-0.3939512864689826
float_reference,gain,0.8,0.5717009258009943,0.4626060138781804,-0.3890907015122108
fixed_int8,gain,0.9,0.1876148169674828,0.176946800308404,-0.7737950056565195
float_reference,gain,0.9,0.18672871539922573,0.18427139552814187,-0.7740629119139794
fixed_int8,gain,1.0,0.9614098226240023,0.9653045489591364,0.0
float_reference,gain,1.0,0.9607916273132051,0.9660755589822668,0.0
fixed_int8,gain,1.1,0.4331356578687895,0.5069390902081727,-0.5282741647552128
float_reference,gain,1.1,0.42868114874051627,0.5080956052428681,-0.5321104785726889
fixed_int8,gain,1.2,0.5028542071012673,0.36507324595219737,-0.45855561552273505
float_reference,gain,1.2,0.5058245285368815,0.37047031611410947,-0.4549670987763236
fixed_int8,gaussian_noise,0.0,0.9614098226240023,0.9653045489591364,0.0
float_reference,gaussian_noise,0.0,0.9607916273132051,0.9660755589822668,0.0
fixed_int8,gaussian_noise,0.0025,0.9594280947389179,0.9633770239013107,-0.001981727885084439
float_reference,gaussian_noise,0.0025,0.9569397450933586,0.9629915188897455,-0.0038518822198465585
fixed_int8,gaussian_noise,0.005,0.9566608112175529,0.9610639938319198,-0.004749011406449455
float_reference,gaussian_noise,0.005,0.9544715046341945,0.9610639938319198,-0.006320122679010609
fixed_int8,gaussian_noise,0.01,0.9557078952557889,0.9595219737856592,-0.0057019273682134
float_reference,gaussian_noise,0.01,0.9520791601365868,0.9579799537393986,-0.008712467176618333
fixed_int8,gaussian_noise,0.02,0.9240404674672285,0.925597532767926,-0.037369355156773865
float_reference,gaussian_noise,0.02,0.9239243531328816,0.9298380878951427,-0.03686727418032354
