mean,median,std,min,max,range,argmax,argmin,max_abs_diff,mean_abs_diff,sum_abs_diff,energy,number_of_local_maxima,number_of_local_minima,split,label
0.50075495,0.500854,0.00037776123,0.499938,0.501464,0.0015259981,2,10,0.0010690093,0.00047389456,0.009003997,5.015111,6,8,train,0
0.510468,0.511267,0.035411045,0.444128,0.579168,0.13504001,5,10,0.053710967,0.016404519,0.31168586,5.23663,3,3,train,1
0.510226,0.5099974,0.03536153,0.444128,0.579168,0.13504001,9,14,0.053710967,0.015398374,0.2925691,5.231621,3,2,train,1
0.51017296,0.51022,0.035328068,0.444128,0.579168,0.13504001,6,11,0.053710967,0.015615319,0.29669106,5.2304916,2,3,train,1
0.51045173,0.511267,0.035382442,0.444128,0.579168,0.13504001,10,15,0.053710967,0.015883839,0.30179292,5.236257,3,3,train,1
0.5097679,0.50966454,0.035428505,0.444128,0.579168,0.13504001,5,10,0.053710967,0.0160402,0.3047638,5.2223687,3,2,train,1
0.5106965,0.511267,0.035399374,0.444128,0.579168,0.13504001,10,15,0.053710967,0.015877215,0.3016671,5.2412796,2,2,train,1
0.5092835,0.50935364,0.035333928,0.444128,0.579168,0.13504001,10,15,0.053710967,0.015423919,0.29305446,5.2123637,2,3,train,1
0.51052195,0.511267,0.035317164,0.444128,0.579168,0.13504001,7,12,0.053710967,0.0153576955,0.2917962,5.2375975,2,2,train,1
0.510029,0.50966454,0.035372127,0.444128,0.579168,0.13504001,9,14,0.053710967,0.015687073,0.2980544,5.2276163,3,3,train,1
0.5100898,0.511267,0.03539611,0.444128,0.579168,0.13504001,9,14,0.053710967,0.015699282,0.29828638,5.228891,2,3,train,1
0.50791395,0.50428843,0.053068727,0.426275,0.591986,0.16571099,5,12,0.041046023,0.017832533,0.33881813,5.215856,2,1,train,1
0.50769633,0.50211334,0.05308188,0.426275,0.591986,0.16571099,6,13,0.041046023,0.017861137,0.3393616,5.211466,1,2,train,1
0.5075643,0.50142455,0.05309813,0.426275,0.591986,0.16571099,5,12,0.041046023,0.018200561,0.34581065,5.2088175,2,1,train,1
0.5081266,0.50470555,0.05307224,0.426275,0.591986,0.16571099,5,12,0.041046023,0.017968591,0.34140325,5.2201853,1,1,train,1
0.5076929,0.50207824,0.05308223,0.426275,0.591986,0.16571099,6,13,0.041046023,0.017857442,0.3392914,5.2113953,1,2,train,1
0.5082246,0.50470555,0.053079322,0.426275,0.591986,0.16571099,5,12,0.041046023,0.018071817,0.34336454,5.2221932,1,1,train,1
0.5076812,0.5019614,0.05308343,0.426275,0.591986,0.16571099,6,13,0.041046023,0.017845144,0.33905774,5.2111607,1,2,train,1
0.5076868,0.50201786,0.053082846,0.426275,0.591986,0.16571099,6,13,0.041046023,0.017851083,0.33917058,5.2112737,1,2,train,1
0.5071573,0.50142455,0.05318735,0.426275,0.591986,0.16571099,6,13,0.041046023,0.018283537,0.3473872,5.200749,1,1,train,1
0.50789136,0.50406307,0.053069305,0.426275,0.591986,0.16571099,5,12,0.041046023,0.017856255,0.33926886,5.2153993,2,1,train,1
0.49232394,0.501098,0.11340809,0.311889,0.66101,0.34912103,7,14,0.090333015,0.035898272,0.68206716,5.1048827,1,1,train,1
