source,destination,sign
4,0,0
10,0,0
20,0,0
21,0,1
33,0,0
44,0,0
58,0,0
60,0,1
7,1,1
11,1,1
21,1,0
35,1,0
47,1,0
59,1,1
12,2,0
34,2,0
46,2,0
2,3,0
13,3,1
14,3,0
16,3,1
24,3,0
30,3,0
35,3,1
37,3,0
16,4,0
18,4,0
29,4,0
43,4,0
10,5,0
28,5,0
30,5,0
37,5,0
38,5,0
39,5,0
44,5,0
50,5,0
0,6,0
2,6,0
36,6,0
62,6,0
0,7,1
6,7,0
22,7,0
35,7,1
42,7,0
48,7,0
55,7,1
13,8,0
18,8,0
43,8,1
51,8,0
56,8,0
58,8,0
2,9,1
6,9,0
23,9,0
40,9,0
42,9,0
18,10,0
21,10,0
23,10,0
27,10,0
30,10,0
36,10,1
39,10,1
54,10,1
58,10,1
61,10,0
63,10,0
6,11,0
25,11,0
26,11,0
28,11,0
42,11,0
43,11,1
52,11,0
57,11,1
8,12,0
36,12,0
39,12,0
61,12,1
6,13,0
20,13,0
24,13,0
11,14,0
27,14,1
37,14,0
40,14,0
58,14,1
16,15,1
20,15,0
44,15,0
12,16,0
27,16,0
44,16,1
50,16,0
0,17,1
3,17,1
4,17,0
5,17,0
8,17,0
30,17,1
52,17,0
53,17,0
3,18,0
4,18,1
13,18,1
19,18,0
27,18,0
34,18,0
44,18,0
16,19,0
28,19,0
33,19,0
34,19,0
37,19,1
42,19,1
11,20,0
19,20,1
26,20,0
31,20,1
37,20,0
41,20,1
45,20,0
49,20,0
57,20,0
63,20,0
18,21,0
19,21,0
24,21,0
33,21,0
35,21,1
47,21,1
9,22,0
13,22,0
18,22,0
62,22,0
30,23,0
31,23,1
55,23,1
16,24,0
19,24,1
23,24,1
41,24,0
59,24,0
4,25,0
42,25,0
56,25,0
61,25,0
0,26,0
3,26,0
14,26,0
35,26,0
37,26,1
39,26,0
61,26,1
14,27,1
17,27,0
33,27,1
43,27,0
44,27,0
48,27,0
37,28,0
42,28,0
43,28,0
45,28,0
51,28,1
54,28,0
5,29,0
8,29,0
19,29,0
28,29,0
31,29,1
37,29,0
45,29,0
6,30,0
9,30,0
26,30,0
33,30,0
38,30,0
46,30,0
53,30,0
61,30,1
3,31,0
11,31,1
15,31,0
48,31,1
2,32,1
5,32,0
9,32,0
16,32,0
17,32,1
34,32,1
37,32,1
39,32,0
44,32,0
47,32,0
17,33,0
20,33,0
39,33,0
51,33,1
52,33,0
56,33,0
1,34,0
18,34,0
23,34,0
35,34,1
45,34,0
55,34,0
57,34,1
58,34,0
7,35,0
16,35,0
17,35,0
19,35,0
37,35,0
41,35,0
44,35,0
45,35,1
46,35,0
57,35,0
15,36,0
16,36,0
19,36,0
21,36,0
25,36,0
50,36,1
55,36,0
58,36,1
14,37,0
30,37,0
43,37,0
60,37,0
4,38,0
9,38,1
17,38,1
37,38,0
42,38,0
60,38,0
63,38,0
6,39,1
7,39,0
10,39,0
20,39,0
22,39,1
24,39,0
36,39,0
44,39,0
6,40,1
43,40,0
9,41,0
30,41,0
42,41,1
52,41,1
61,41,1
1,42,0
12,42,0
21,42,0
39,42,0
50,42,0
58,42,0
61,42,0
62,42,0
6,43,0
23,43,0
31,43,0
53,43,0
56,43,0
63,43,1
1,44,1
6,44,0
15,44,0
27,44,0
38,44,0
41,44,1
57,44,1
59,44,0
13,45,0
38,45,1
40,45,0
42,45,0
55,45,0
60,45,0
0,46,0
9,46,0
23,46,0
29,46,0
43,46,0
62,46,0
23,47,0
24,47,0
60,47,1
61,47,0
1,48,0
7,48,0
14,48,0
20,48,0
21,48,0
30,48,0
32,48,0
39,48,0
42,48,0
49,48,1
55,48,1
61,48,1
6,49,0
7,49,0
9,49,0
17,49,0
33,49,0
54,49,1
59,49,0
60,49,0
62,49,0
17,50,0
19,50,0
24,50,1
35,50,0
41,50,0
42,50,0
43,50,0
45,50,1
51,50,0
54,50,0
56,50,0
4,51,0
22,51,0
24,51,0
43,51,1
48,51,0
1,52,1
4,52,0
8,52,0
21,52,0
26,52,0
34,52,0
42,52,1
46,52,0
50,52,1
60,52,1
61,52,1
2,53,0
6,53,0
35,53,0
46,53,0
10,54,0
11,54,0
59,54,0
9,55,0
10,55,1
21,55,0
51,55,0
57,55,0
60,55,0
7,56,0
11,56,0
31,56,0
37,56,0
42,56,0
44,56,0
49,56,0
50,56,0
32,57,0
38,57,0
50,57,0
52,57,0
1,58,1
4,58,0
16,58,0
24,58,0
28,58,0
37,58,0
47,58,0
61,58,1
19,59,0
21,59,0
36,59,0
38,59,0
45,59,0
29,60,0
35,60,0
36,60,0
43,60,0
50,60,0
61,60,0
6,61,0
8,61,0
12,61,1
17,61,0
24,61,0
27,61,1
28,61,0
45,61,0
50,61,1
42,62,0
56,62,0
9,63,0
39,63,0
46,63,0
50,63,0
59,63,1
61,63,0
